"","YEAR","TEAM","SEED","KADJ_O","KADJ_D","BARTHAG","WIN_","FTR","TOV_","TOV_D","OREB_","DREB_","X3PT_","X3PT_D","AST_","EXP","ELITE_SOS","WINS","POWER","PATH"
"403",2014,"Wichita St.",1,117.117,91.937,0.919,100,47.3,16.2,18.5,35.4,74.1,34.7,31.3,54,1.929,15.817,1,83.9,69
"404",2014,"Western Michigan",14,106.443,102.024,0.58,70.96774,51.7,20.9,18.5,31.4,68.4,33,31.2,46.8,1.641,12.19,0,54.1,80.6
"405",2014,"Weber St.",16,106.025,106.516,0.462,60.71429,50,19.1,13.6,28,71.3,39.4,33.1,55.4,1.609,9.596,0,51.8,90.3
"406",2014,"Virginia",1,113.85,87.4218,0.945,82.35294,42.4,16.8,18.8,34.8,73.6,36.5,31.9,56.8,1.452,30.369,2,81.4,65.5
"407",2014,"Villanova",2,117.154,91.8909,0.929,87.5,45,17.2,20.2,33.1,71.1,36.1,35.4,60.7,1.542,27.216,1,78.5,64.7
"408",2014,"VCU",5,108.679,88.4655,0.891,76.47059,35.7,17.2,25.6,35.1,69.3,34.9,30.1,50,1.651,23.556,0,73.9,69.5
"409",2014,"UCLA",4,118.14,95.8826,0.91,76.47059,39,14.9,20.5,30.2,71.7,39.1,34.6,59.2,1.33,25.87,2,79.3,67.8
"410",2014,"Tulsa",13,105.972,96.6323,0.73,63.63636,47.8,16.5,20.4,30.1,70.6,32.5,35.3,50.7,1.345,17.432,0,58.1,77.5
"412",2014,"Texas",7,110.262,95.2735,0.853,69.69697,43.8,17.7,16.6,39.4,70,32.4,34.2,49.5,0.797,29.843,1,65.9,72.3
"413",2014,"Tennessee",11,115.185,93.4414,0.923,62.5,41.3,17.2,17.2,39.7,72.4,33,34,49.6,2.051,27.83,2,74.8,71.1
"414",2014,"Syracuse",3,114.707,93.2029,0.918,84.375,38.8,14.6,21.9,38.1,68.3,33.5,34.6,49.6,1.424,28.889,1,81.6,67.8
"415",2014,"Stephen F. Austin",12,111.44,100.651,0.752,93.54839,40.1,16.8,24.4,38.5,70.7,35.2,34.8,62.6,1.924,7.349,1,60.2,75
"416",2014,"Stanford",10,113.435,97.4392,0.834,63.63636,44.6,16.8,17,29.5,72,37.1,35.5,46.6,2.423,28.957,2,65.6,77.9
"417",2014,"San Diego St.",4,109.055,89.2312,0.887,87.09677,44.9,15.3,21.1,36.1,70.5,33.9,30.8,39.7,1.858,22.259,2,75.1,69.4
"418",2014,"Saint Louis",5,105.599,89.8073,0.86,80.64516,40.6,18.6,21,29.2,70.9,32,29.1,58,2.475,21.668,1,68.7,72.6
"419",2014,"Saint Joseph's",10,111.261,98.2332,0.839,72.72727,43.4,18.7,15.4,29.5,72.4,38,33.7,57.1,2.138,22.509,0,62.7,74
